0x2dc	0x00000000
0x2e1	0x1ffc9a7
0x316	0x2775240
0x339	0x6fdde03
0x35b	0x81812fc
0x393	0x95ea7b3
0x3b5	0x18160ddd
0x3ca	0x23b872dd
0x3ea	0x2f745c59
0x40a	0x32cb6b0c
0x420	0x3ccfd60b
0x435	0x3f4ba83a
0x44a	0x40c10f19
0x45d	0x42842e0e
0x47d	0x4f6ccce7
0x49d	0x51cff8d9
0x4bd	0x55f804b3
0x4dd	0x5c975abb
0x4fc	0x60954ac1
0x535	0x6352211e
0x555	0x693b4404
0x56b	0x70a08231
0x58b	0x715018a6
0x5a0	0x7204a3c9
0x5c0	0x82b23e88
0x5e0	0x8456cb59
0x5f5	0x8d859f3e
0x610	0x8da5cb5b
0x62e	0x8e825be0
0x64e	0x95d89b41
0x663	0x9b6a6709
0x676	0xa22cb465
0x696	0xb179e060
0x6b6	0xb88d4fde
0x6d6	0xc3454bcc
0x6ec	0xc87b56dd
0x70c	0xd547cfb7
0x721	0xdb79c5bf
0x741	0xdedf141e
0x761	0xe985e9c5
0x7aa	0xf2fde38b
0x7ca	0xf3fef3a3
0x7ea	0xf5ebec80
0x7ff	0xfffe83ee
